REFERENCE1,DOI,YEAR_OBS,YEAR_PUB
 Stark__N.__1977__Tropical_Ecology__18__1-9,NA,,
 Stark_N.__1971__Tropical_Ecology__12__177-201,NA,,
 Steinberger__Y._1991._Israel_Journal_of_Botany_40:33-39,NA,,
 Steinke__T.D._et_al_1990._South_African_Journal_of_Botany_56(5):514-519,NA,,
 Steinke__T.D._et._al.._1988.__South_African_Journal_of_Botany._54(5):445-454,NA,,
 Stewart__B.A._1990._Hydrobiologia_202:135-146,NA,,
 Strojan__C.L._1979._Ecology_60(5):891-900,NA,,
 Stump__L._et_al._1993._Canadian_Journal_of_Forest_Research_23:492-502000,NA,,
 Sudardjo__S._1992_Forest_Ecology_and_Management_49:195-209,NA,,
 Swaine__M._D._et._al.__1990.__Vegetatio_88:31-51,NA,,
 Sweetapple__P.J._1992._New_Zealand_Journal_of_Botany_30:263-269,NA,,
 Tanner__J._1981__Journal_of_Ecology__69__263-275,NA,,
 Tappeiner__J.C.__1975__Ecology__56__1193-1200,NA,,
 Tarrant__R.F.__1951__Journal_of_Forestry__49__914-915,NA,,
 Taylor__B.R._1991._Canadian_Journal_of_Botany_69:2242-2250,NA,,
 Terada__et.al.__1976__Progress_Report,NA,,
 Theodorou__C._1990_Forest_Ecology_and_Management_32:87-102,NA,,
 Tietema__A._1991_Biogeochemistry_15:21-46,NA,,
 Tilman__D._1993._Ecology_74(8):2179-2191,NA,,
 Titus__B.D._1991._forestry_64(3):251-270,NA,,
 Toky__O.P._1993_Agriculture__Ecosystems_and_Environment_45:129-145,NA,,
 Trofymow__J.A._1991_Canadian_Journal_of_Forest_Research__21:1601-1615,NA,,
 Turner__J.__1975__Canadian_Journal_of_Forest_Research__5__681-690,NA,,
 Turner__J.__1981__Anals_of_Botany__48__159-169,NA,,
 Turner__J.__1983__Forest_Ecology_and_Management__6__155-168,NA,,
 Turner__J._1992_Forest_Ecology_and_Management,NA,,
 Uhl__C._1990._Ecology__71(2):437-449,NA,,
 Upadhyay__V.P._1989._Indian_Forester__115(5):320-326,NA,,
 Updegraff__K.L._1990._Canadian_Journal_of_Forest_Research_20:1818-1822,NA,,
 Van_Cleve__K.__1975__Canadian_Journal_of_Forest_Research__5__626-639,NA,,
 Van_Cleve__K.R.__1981__Canadian_Journal_of_Forest_Research__11__258-273,NA,,
 Van_Lear_et_al.__1976._SSSAJ_40:116-119,NA,,
 Van_Loon__A.P.__1969__Forestry_Commission_of_N.S.W.__research_note_23,NA,,
 Van_Loon__A.P.__1977__Forestry_Commission_of_New_South_Wales__Research_Note_33,NA,,
 Van_Wesemael__B._1992._Journal_of_Soil_Science_43:133-144,NA,,
 Veneklaas__E._J._1991._Journal_of_Tropical_Ecology_7:319-336,NA,,
 Venkataramanan__C.__1978__Indian_Forester__104__450-456,NA,,
 Viro__P._1955_Comm._Instituti_Forestalis_Fenniae_65(6):1-65,NA,,
 Vogt__K.A.__1983_Ecological_Monographs__53__139-157,NA,,
 Wanru_Z._1990._Acta_Pedologica_Sinica_27(2):121-131,NA,,
 Weaver__P.L.__1986__Biotropica__18__79-85,NA,,
 Webb__L.J.__1969__Australian_Forestry__33__99-110,NA,,
 Webber__P.J._1978._In._Vege._&_Prod._Ecol._of_an_AK_Arctic_Tundra_(ed._Tieszen).,NA,,
 Webber__P.J._and_D.E._May._1977._Artic_and_Alpine_Research_9:157-174,NA,,
 Weber__M.G.__1981__Canadian_Journal_of_Forest_Research__11__743-751,NA,,
 Weber__M.G.__1987__Canadian_Journal_of_Forest_Research__17__1496-1506,NA,,
 Welch__T.G.__1975__Forest_Soils_and_Forest_Land_Management_159-178,NA,,
 Wells__C.__1972__J._Elisha_Mitchell_Sci.Soc.__88__66-78,NA,,
 Wells__C.G.__1975__4th_North_American_Forest_Soils_Conference__Proc.__Aug._1973,NA,,
 Wen-Yao__L._1990_Acta_Botanica_Sinica_32(8):637-646,NA,,
 Wheeler__G.L._1992_Forest_Ecology_and_Management_51:339-346,NA,,
 Whigham__D.F._1990._Tropical_Ecology_31(2)_23-34,NA,,
 Will__G._1959_New_Zealand_J._of_Ag._Research_2:719-734,NA,,
 Witkamp__M._&_VanDerDrift__J._1961_Plant_and_Soil_15:295-311,NA,,
 Witkowski__E.T.F._1991_Journal_of_Applied_Ecology_28:1-15,NA,,
 Wooi-Khoon__G._and_Jin-Eong__O._1983_Tropical_Rain_Forest_2:275-285,NA,,
 Yamada__I.__1976__South_East_Asia_Studies__14__194-229,NA,,
 Yasuda__T._1989._Japanese_Journal_of_Limnology_50(3):227-234,NA,,
 Yavitt__J.B.__1986__Journal_of_Ecology__74__525-545,NA,,
 Yin__X.__Perry_J.A._et_al._Canadian_Journal_of_forest_research_19:204-214,NA,,
 Yoda__1978__C_N__and_mineral_nutrients__Malaysian_Nat.J.,NA,,
 Yoda__K.__1969__Nature_and_Life_in_Southeast_Asia__6__83-110,NA,,
 Yoda__K.__1969__Nature_and_LIfe_in_Southeast_Asia__6__83-110,NA,,
 Yoda__K.__1978__Malay_Nat.J.__30__229-251,NA,,
 Zou__X._1993._Biology_and_Fertility_of_Soils_15:35-38,NA,,
Melkenen__E._1975._Communicationes_Instituti_Forestalis_Fenniae._84:_1-87.,NA,,
Melkenen__E._1977._Commun.Inst.For.Fenn._91(5):_1-35.,NA,,
