REFERENCE1,DOI,YEAR_OBS,YEAR_PUB
 Ovington__J.D.__1959__Journal_of_Forest_Science__5__344-355,NA,,
 Pandit__B.R._1993_Indian_Forester_119(5)_375-380,NA,,
 Pape__T.H._1989._Plant_and_Soil_120:253-261,NA,,
 Persson__S._et_al._1987._Vegetatio_73:31-45,NA,,
 Peterson__D.L._et_al._1982._Forest_Science_28:667-681,NA,,
 Pokhriyal__T.C._1988._Indian_Journal_Plant_Physiology_XXXI(2):158-162,NA,,
 Polglase__P.J._1992._Plant_and_Soil_142:157-166,NA,,
 Pregitzer__K.S._1991_Canadian_Journal_of_Forest_Research_21:1148-1153,NA,,
 Prescott__C.E.__et_al.__1989_Canadian_journal_of_Forest_Research_19:309-317,NA,,
 Prescott__C.E._1989_Canadian_Journal_of_Forest_Research__19:489-498,NA,,
 Prescott__C.E._1993._Candian_Journal_of_Forest_Research_23:1576-1586,NA,,
 Proctor__J._et._al.._1989_Journal_of_Ecology._77:317-331,NA,,
 Proctor_et_al.__1983_Journal_of_Ecology_71:261-283,NA,,
 Pysek__P._1991_Preslia__Praha_63:9-20,NA,,
 Qualls__R.G._et_al._1991._Ecology_72(1):_254-266,NA,,
 Rai__S.N.__1986__Journal_of_Ecology__74__455-463,NA,,
 Raich__J.W.__1983__Biotropica__15__177-184,NA,,
 Rajwar__G.S._1990._Indian_forester_116(9):717-722,NA,,
 Ranawat__M.P.S.__1975__Biologia__30__41-47,NA,,
 Rapp__M._1969_Oecologia_Plantarum_4:377-410,NA,,
 Rapp_and_Lossaint._1981._In:_Ecosystems_of_the_World_11:Mediterranean-Shrublands,NA,,
 Rawat__R._S._et._al._1989_82:113-125,NA,,
 Reiners__W.A.__1970__Journal_of_Ecology__58__497-519,NA,,
 Robertson__A.I._1989._Oecologia_78:191-198,NA,,
 Rochow__J.J.__1974__Oikos__25__80-85,NA,,
 Rochow__J.J.__1975__Journal_of_Ecology__63__985-994,NA,,
 Rogers__R.W.__1977__Australian_Journal_of_Botany__25__47-58,NA,,
 Rombke__J._1991_Biology_and_Fertility_of_Soils__11:255-260,NA,,
 Ross__M.S._1992_Biotropica_24(4):488-502,NA,,
 Rout__S.K._1989_Acta_Oecologica__10(3):229-244,NA,,
 Saifullan__S.M._et._al.._1989._Aquatic_Botany_36:79-86,NA,,
 Saito__H._1977__JIBP_Synthesis__Ch._4.1,NA,,
 Salas__G._&_Folster__H._1976_Turrialba_26:179-186,NA,,
 Sato__1970,NA,,
 Sato__In_Tarek_Bera_Monographiac_Biol_vol_#47,NA,,
 Schiffman_P.M._et_al_1989_Canadian_Journal_of_Forest_Research,NA,,
